Date,Firm,Strategist,Stock Allocation %
1997-01-02,A.G. Edwards,Ray Worseck,60.0
1997-01-02,Bear Stearns,Liz Mackay,55.0
1997-01-02,Credit Suisse,Christine Callies,60.0
1997-01-02,Dean Witter Reynolds,Peter Canelo,65.0
1997-01-02,DLJ,Eric Miller,45.0
1997-01-02,Everen,Rao Chalisani,62.0
1997-01-02,Goldman Sachs,Abby Joseph Cohen,60.0
1997-01-02,JPMorgan,Douglas Cliggott,55.0
1997-01-02,Lehman,Jeffrey Applegate,70.0
1997-01-02,Merrill Lynch,Charles Clough,40.0
1997-01-02,Oppenheimer,Michael Metz,30.0
1997-01-02,PaineWebber,Mary Farrell,54.0
1997-01-02,Prudential,Greg Smith,60.0
1997-01-02,Salomon,David Shulman,45.0
1997-01-02,Smith Barney,Committee,50.0
1997-01-02,UBS,Gail Dudack,45.0
1997-01-02,Wheat First,Don Hays,67.0
1997-01-17,A.G. Edwards,Ray Worseck,60.0
1997-01-17,Bear Stearns,Liz Mackay,55.0
1997-01-17,Credit Suisse,Christine Callies,60.0
1997-01-17,Dean Witter Reynolds,Peter Canelo,65.0
1997-01-17,DLJ,Eric Miller,45.0
1997-01-17,Everen,Rao Chalisani,62.0
1997-01-17,Goldman Sachs,Abby Joseph Cohen,60.0
1997-01-17,JPMorgan,Douglas Cliggott,55.0
1997-01-17,Lehman,Jeffrey Applegate,70.0
1997-01-17,Merrill Lynch,Charles Clough,40.0
1997-01-17,Oppenheimer,Michael Metz,30.0
1997-01-17,PaineWebber,Mary Farrell,51.0
1997-01-17,Prudential,Greg Smith,65.0
1997-01-17,Salomon,David Shulman,45.0
1997-01-17,Smith Barney,Committee,50.0
1997-01-17,UBS,Gail Dudack,45.0
1997-01-17,Wheat First,Don Hays,67.0
1997-01-24,A.G. Edwards,Ray Worseck,60.0
1997-01-24,Bear Stearns,Liz Mackay,55.0
1997-01-24,Credit Suisse,Christine Callies,60.0
1997-01-24,Dean Witter Reynolds,Peter Canelo,65.0
1997-01-24,DLJ,Eric Miller,45.0
1997-01-24,Everen,Rao Chalisani,62.0
1997-01-24,Goldman Sachs,Abby Joseph Cohen,60.0
1997-01-24,JPMorgan,Douglas Cliggott,55.0
1997-01-24,Lehman,Jeffrey Applegate,65.0
1997-01-24,Merrill Lynch,Charles Clough,40.0
1997-01-24,Oppenheimer,Michael Metz,30.0
1997-01-24,PaineWebber,Edward Kerschner,51.0
1997-01-24,Prudential,Greg Smith,70.0
1997-01-24,Salomon,David Shulman,45.0
1997-01-24,Smith Barney,Committee,50.0
1997-01-24,UBS,Gail Dudack,45.0
1997-01-24,Wheat First,Don Hays,67.0
1997-02-07,A.G. Edwards,Ray Worseck,60.0
1997-02-07,Bear Stearns,Liz Mackay,55.0
1997-02-07,Credit Suisse,Christine Callies,60.0
1997-02-07,Dean Witter Reynolds,Peter Canelo,65.0
1997-02-07,DLJ,Eric Miller,45.0
1997-02-07,Everen,Rao Chalisani,62.0
1997-02-07,Goldman Sachs,Abby Joseph Cohen,60.0
1997-02-07,JPMorgan,Douglas Cliggott,50.0
1997-02-07,Lehman,Jeffrey Applegate,65.0
1997-02-07,Merrill Lynch,Charles Clough,40.0
1997-02-07,Oppenheimer,Michael Metz,30.0
1997-02-07,PaineWebber,Edward Kerschner,53.0
1997-02-07,Prudential,Greg Smith,70.0
1997-02-07,Salomon,David Shulman,45.0
1997-02-07,Smith Barney,Committee,50.0
1997-02-07,UBS,Gail Dudack,45.0
1997-02-07,Wheat First,Don Hays,45.0
1997-02-14,A.G. Edwards,Ray Worseck,65.0
1997-02-14,Bear Stearns,Liz Mackay,55.0
1997-02-14,Credit Suisse,Christine Callies,60.0
1997-02-14,Dean Witter Reynolds,Peter Canelo,65.0
1997-02-14,DLJ,Eric Miller,45.0
1997-02-14,Everen,Rao Chalisani,62.0
1997-02-14,Goldman Sachs,Abby Joseph Cohen,60.0
1997-02-14,JPMorgan,Douglas Cliggott,50.0
1997-02-14,Lehman,Jeffrey Applegate,65.0
1997-02-14,Merrill Lynch,Charles Clough,40.0
1997-02-14,Oppenheimer,Michael Metz,30.0
1997-02-14,PaineWebber,Edward Kerschner,54.0
1997-02-14,Prudential,Greg Smith,70.0
1997-02-14,Salomon,David Shulman,45.0
1997-02-14,Smith Barney,Committee,50.0
1997-02-14,UBS,Gail Dudack,45.0
1997-02-14,Wheat First,Don Hays,45.0
1997-02-19,A.G. Edwards,Ray Worseck,65.0
1997-02-19,Bear Stearns,Liz Mackay,55.0
1997-02-19,Credit Suisse,Christine Callies,60.0
1997-02-19,Dean Witter Reynolds,Peter Canelo,65.0
