Date,Firm,Strategist,Stock Allocation %,1999 Close
1999-01-15,Bear Stearns,Liz Mackay,60.0,
1999-01-15,Credit Suisse,Christine Callies,60.0,
1999-01-15,DLJ,Thomas Galvin,80.0,
1999-01-15,Goldman Sachs,Abby Joseph Cohen,70.0,
1999-01-15,JPMorgan,Douglas Cliggott,60.0,
1999-01-15,Lehman,Jeffrey Applegate,80.0,
1999-01-15,Merrill Lynch,Charles Clough,40.0,
1999-01-15,Morgan Stanley,Peter Canelo,65.0,
1999-01-15,PaineWebber,Ed Kerschner,64.0,
1999-01-15,Prudential,Greg Smith,70.0,
1999-01-15,Salomon SB,Committee,55.0,
1999-01-15,UBS,Gail Dudack,45.0,
1999-01-15,Wheat First,Don Hays,70.0,
1999-01-22,Bear Stearns,Liz Mackay,60.0,
1999-01-22,Credit Suisse,Christine Callies,60.0,
1999-01-22,DLJ,Thomas Galvin,80.0,
1999-01-22,Goldman Sachs,Abby Joseph Cohen,70.0,
1999-01-22,JPMorgan,Douglas Cliggott,60.0,
1999-01-22,Lehman,Jeffrey Applegate,80.0,
1999-01-22,Merrill Lynch,Charles Clough,40.0,
1999-01-22,Morgan Stanley,Peter Canelo,65.0,
1999-01-22,PaineWebber,Ed Kerschner,64.0,
1999-01-22,Prudential,Greg Smith,70.0,
1999-01-22,Salomon SB,,,
1999-01-22,Smith Barney,Committee,55.0,
1999-01-22,UBS,Gail Dudack,45.0,
1999-01-22,Wheat First,Don Hays,70.0,
1999-01-29,Bear Stearns,Liz Mackay,60.0,
1999-01-29,Credit Suisse,Christine Callies,60.0,
1999-01-29,DLJ,Thomas Galvin,80.0,
1999-01-29,Goldman Sachs,Abby Joseph Cohen,70.0,
1999-01-29,JPMorgan,Douglas Cliggott,60.0,
1999-01-29,Lehman,Jeffrey Applegate,80.0,
1999-01-29,Merrill Lynch,Charles Clough,40.0,
1999-01-29,Morgan Stanley,Peter Canelo,65.0,
1999-01-29,PaineWebber,Ed Kerschner,63.0,
1999-01-29,Prudential,Greg Smith,70.0,
1999-01-29,Salomon SB,Committee,55.0,
1999-01-29,UBS,Gail Dudack,45.0,
1999-01-29,Wheat First,Don Hays,70.0,
1999-02-04,Bear Stearns,Liz Mackay,60.0,
1999-02-04,Credit Suisse,Christine Callies,60.0,
1999-02-04,DLJ,Thomas Galvin,80.0,
